 	adja_AA_5pUTR	adja_AC_5pUTR	adja_AG_5pUTR	adja_AU_5pUTR	adja_CA_5pUTR	adja_CC_5pUTR	adja_CG_5pUTR	adja_CU_5pUTR	adja_GA_5pUTR	adja_GC_5pUTR	adja_GG_5pUTR	adja_GU_5pUTR	adja_UA_5pUTR	adja_UC_5pUTR	adja_UG_5pUTR	adja_UU_5pUTR
MSMEG_5566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5568	0.1935	0.129	0.0968	0.0323	0.0968	0.0323	0.0968	0.0	0.129	0.0968	0.0645	0.0	0.0323	0.0	0.0	0.0
MSMEG_5569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5579	0.0286	0.0668	0.0286	0.043	0.0477	0.0955	0.1217	0.0549	0.0668	0.0788	0.0692	0.074	0.0263	0.0788	0.0668	0.0525
MSMEG_5580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5584	0.0625	0.0625	0.1875	0.0625	0.0	0.0	0.0625	0.0	0.25	0.0625	0.0625	0.0625	0.0625	0.0	0.0625	0.0
MSMEG_5585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5587	0.0435	0.1304	0.1739	0.0	0.087	0.1304	0.0435	0.0435	0.1739	0.0	0.087	0.0	0.0	0.0435	0.0	0.0435
MSMEG_5588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5589	0.0333	0.0667	0.1	0.0333	0.0667	0.0333	0.0667	0.0667	0.0667	0.0667	0.1333	0.0667	0.0667	0.0333	0.0667	0.0333
MSMEG_5590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5591	0.0312	0.0625	0.0	0.0625	0.0312	0.0312	0.0625	0.0938	0.0938	0.0312	0.0938	0.125	0.0312	0.0938	0.1562	0.0
MSMEG_5592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5595	0.0769	0.0769	0.0	0.0769	0.0769	0.0769	0.1154	0.0769	0.0	0.1538	0.0385	0.0385	0.0385	0.0385	0.1154	0.0
MSMEG_5596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5597	0.1071	0.0357	0.0357	0.0357	0.0	0.0357	0.1071	0.0714	0.0714	0.0714	0.1429	0.0714	0.0357	0.0714	0.0714	0.0357
MSMEG_5599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5601	0.0514	0.0701	0.0514	0.0607	0.0701	0.0654	0.0935	0.0421	0.0935	0.0748	0.0748	0.0654	0.014	0.0654	0.0888	0.0187
MSMEG_5602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5607	0.1364	0.0682	0.0682	0.0227	0.0455	0.0455	0.0455	0.0227	0.0682	0.0455	0.25	0.0682	0.0682	0.0	0.0455	0.0
MSMEG_5608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5610	0.0166	0.0773	0.0166	0.0276	0.0497	0.0829	0.1547	0.0663	0.0608	0.1326	0.0884	0.0608	0.0166	0.0608	0.0773	0.011
MSMEG_5611	0.0	0.0339	0.0678	0.0678	0.0847	0.0847	0.0508	0.0339	0.0678	0.1356	0.1525	0.0508	0.0169	0.0	0.1186	0.0339
MSMEG_5612	0.0325	0.0732	0.0163	0.0244	0.0325	0.0488	0.1382	0.0488	0.065	0.0894	0.1057	0.0894	0.0163	0.065	0.0894	0.065
MSMEG_5613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5617	0.0656	0.0984	0.0492	0.0328	0.0656	0.082	0.1148	0.0656	0.0656	0.1311	0.0492	0.0492	0.0328	0.0164	0.082	0.0
MSMEG_5618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5627	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5634	0.0833	0.125	0.0885	0.026	0.125	0.0729	0.099	0.0208	0.099	0.0833	0.0521	0.0312	0.0104	0.0417	0.026	0.0156
MSMEG_5635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5636	0.0182	0.1455	0.0545	0.0182	0.0727	0.0364	0.1091	0.0182	0.1455	0.0	0.1455	0.0545	0.0182	0.0545	0.0182	0.0909
MSMEG_5637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5641	0.037	0.037	0.1296	0.037	0.037	0.0185	0.0926	0.0185	0.1296	0.1111	0.0741	0.0926	0.037	0.0185	0.0926	0.037
MSMEG_5642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5646	0.0392	0.0662	0.0686	0.0319	0.0564	0.0858	0.1054	0.0539	0.0931	0.0784	0.0613	0.0686	0.0172	0.0711	0.0662	0.0368
MSMEG_5648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5649	0.0488	0.0854	0.0854	0.061	0.061	0.0366	0.1098	0.0488	0.1341	0.0854	0.0976	0.0122	0.0366	0.0488	0.0366	0.0122
MSMEG_5650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5651	0.0811	0.1081	0.0541	0.027	0.027	0.1622	0.1081	0.027	0.1081	0.0541	0.0541	0.0541	0.027	0.027	0.0541	0.027
MSMEG_5652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5656	0.0203	0.061	0.0427	0.0346	0.0589	0.0996	0.1402	0.0467	0.0671	0.124	0.0691	0.0569	0.0122	0.063	0.063	0.0407
MSMEG_5657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5658	0.029	0.0624	0.0601	0.0223	0.049	0.0913	0.1514	0.0423	0.0757	0.1336	0.0802	0.0557	0.02	0.0468	0.0535	0.0267
MSMEG_5659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5660	0.0057	0.0573	0.0458	0.0372	0.063	0.0544	0.1519	0.0487	0.0659	0.1461	0.1089	0.0544	0.0143	0.0602	0.0659	0.0201
MSMEG_5661	0.027	0.0631	0.036	0.036	0.0541	0.0721	0.1261	0.036	0.0811	0.0901	0.0901	0.0631	0.009	0.0541	0.0721	0.0901
MSMEG_5662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5672	0.0323	0.0645	0.1129	0.0323	0.0645	0.1129	0.0645	0.0484	0.1129	0.0323	0.0645	0.0645	0.0323	0.0968	0.0161	0.0484
MSMEG_5673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5680	0.0	0.058	0.058	0.0725	0.1014	0.1159	0.0725	0.0435	0.058	0.1014	0.087	0.0435	0.029	0.0725	0.058	0.029
MSMEG_5681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5682	0.0588	0.0824	0.0941	0.0471	0.0824	0.0353	0.0588	0.0588	0.1059	0.0706	0.1059	0.0471	0.0235	0.0588	0.0706	0.0
MSMEG_5683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5685	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.3	0.2	0.0	0.1	0.0	0.0
MSMEG_5686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5690	0.0408	0.0816	0.0612	0.0408	0.0612	0.0816	0.1224	0.0204	0.1224	0.1224	0.0816	0.0408	0.0	0.0204	0.0816	0.0204
MSMEG_5691	0.2222	0.0	0.1111	0.1111	0.0	0.0	0.0	0.0	0.2222	0.0	0.1111	0.1111	0.0	0.0	0.1111	0.0
MSMEG_5692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5694	0.0165	0.0413	0.0331	0.0413	0.0331	0.1322	0.124	0.0579	0.0661	0.124	0.157	0.0331	0.0165	0.0496	0.0661	0.0083
MSMEG_5695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5696	0.0294	0.0882	0.0294	0.0294	0.0294	0.0588	0.2059	0.0294	0.0882	0.1176	0.0882	0.0588	0.0	0.0588	0.0294	0.0588
MSMEG_5697	0.0769	0.0385	0.1538	0.0769	0.0769	0.2308	0.0385	0.0	0.1538	0.0769	0.0385	0.0	0.0	0.0	0.0385	0.0
MSMEG_5698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5699	0.0105	0.0737	0.0526	0.0737	0.0737	0.0842	0.1368	0.0105	0.1158	0.0737	0.0737	0.0526	0.0105	0.0632	0.0632	0.0316
MSMEG_5700	0.0323	0.0766	0.0484	0.0242	0.0444	0.121	0.1169	0.0565	0.0806	0.0806	0.1089	0.0444	0.0202	0.0605	0.0403	0.0444
MSMEG_5701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5702	0.1094	0.0781	0.0469	0.0469	0.0781	0.0469	0.125	0.0	0.0625	0.0625	0.1094	0.0938	0.0312	0.0625	0.0312	0.0156
MSMEG_5703	0.0526	0.0895	0.0316	0.0158	0.0526	0.1105	0.1421	0.0474	0.0737	0.0895	0.0526	0.0789	0.0105	0.0632	0.0684	0.0211
MSMEG_5704	0.0667	0.0444	0.0667	0.0444	0.0889	0.0889	0.1111	0.0222	0.0444	0.1556	0.0667	0.0444	0.0444	0.0222	0.0444	0.0444
MSMEG_5705	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSMEG_5706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5708	0.0391	0.0726	0.0782	0.0363	0.067	0.0503	0.0922	0.0559	0.1034	0.067	0.067	0.067	0.0168	0.0754	0.067	0.0447
MSMEG_5709	0.055	0.0485	0.1003	0.0356	0.0647	0.0388	0.1003	0.0324	0.1003	0.1036	0.0971	0.0583	0.0162	0.0453	0.0647	0.0388
MSMEG_5710	0.0756	0.042	0.0588	0.0546	0.0336	0.0462	0.0756	0.0546	0.0798	0.0546	0.1176	0.0714	0.0378	0.0672	0.0714	0.0588
MSMEG_5711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5713	0.0	0.1111	0.0278	0.0278	0.0833	0.1667	0.1111	0.0278	0.0833	0.1111	0.1389	0.0278	0.0	0.0	0.0833	0.0
MSMEG_5714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5719	0.1562	0.0938	0.0938	0.0	0.0312	0.0625	0.0938	0.0312	0.0625	0.0625	0.0938	0.0625	0.0938	0.0	0.0	0.0625
MSMEG_5720	0.0	0.0	0.3333	0.0	0.0	0.0	0.0	0.3333	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	0.0
MSMEG_5721	0.0588	0.1471	0.0588	0.0294	0.1176	0.1176	0.0441	0.0588	0.0882	0.0294	0.0735	0.0294	0.0147	0.0588	0.0441	0.0294
MSMEG_5722	0.0625	0.0667	0.0292	0.0208	0.0458	0.0792	0.1708	0.0542	0.0542	0.1333	0.0583	0.0583	0.0167	0.075	0.0417	0.0333
MSMEG_5723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5727	0.0226	0.0734	0.0395	0.0226	0.0339	0.0734	0.1695	0.0395	0.096	0.1356	0.1017	0.0565	0.0056	0.0339	0.0791	0.0169
MSMEG_5728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5730	0.0984	0.0492	0.0328	0.082	0.0492	0.0328	0.1148	0.0328	0.082	0.0984	0.082	0.0492	0.0328	0.0656	0.0656	0.0328
MSMEG_5731	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSMEG_5732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5740	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5741	0.0	0.1053	0.0526	0.1579	0.1053	0.0526	0.1053	0.0	0.1053	0.1053	0.0	0.0	0.0526	0.0526	0.0526	0.0526
MSMEG_5742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5749	0.0385	0.0769	0.0385	0.0577	0.0962	0.0385	0.0962	0.0385	0.0962	0.0385	0.0385	0.1154	0.0	0.1154	0.0962	0.0192
MSMEG_5750	0.073	0.0674	0.0843	0.0337	0.073	0.0506	0.0787	0.0281	0.0955	0.0618	0.0899	0.0843	0.0169	0.0562	0.073	0.0337
MSMEG_5751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5760	0.0	0.1	0.2	0.0	0.0	0.1	0.1	0.0	0.3	0.1	0.1	0.0	0.0	0.0	0.0	0.0
MSMEG_5761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5764	0.0353	0.0941	0.0235	0.0235	0.0824	0.1412	0.0941	0.0824	0.0353	0.0941	0.0824	0.0471	0.0118	0.0824	0.0588	0.0118
MSMEG_5765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5768	0.013	0.039	0.0779	0.0519	0.039	0.026	0.1039	0.0519	0.0519	0.0909	0.0649	0.0909	0.0649	0.0649	0.0519	0.1169
MSMEG_5769	0.0177	0.0442	0.0708	0.0354	0.0531	0.115	0.115	0.0619	0.0796	0.1327	0.1239	0.0265	0.0088	0.0531	0.0619	0.0
MSMEG_5770	0.0	0.0	0.0909	0.0909	0.0	0.0	0.0909	0.0	0.0909	0.0909	0.0909	0.1818	0.0909	0.0909	0.0909	0.0
MSMEG_5771	0.0	0.0694	0.0694	0.0417	0.0833	0.1389	0.0972	0.0417	0.0694	0.0694	0.0694	0.0556	0.0139	0.0972	0.0278	0.0556
MSMEG_5772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5773	0.0606	0.0909	0.1212	0.0606	0.0606	0.0303	0.0606	0.0303	0.0909	0.0606	0.1515	0.0303	0.0909	0.0	0.0303	0.0303
MSMEG_5774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5775	0.0348	0.0812	0.0522	0.0261	0.0609	0.1043	0.1536	0.0377	0.0783	0.1304	0.0754	0.0377	0.0203	0.0377	0.0435	0.0261
MSMEG_5776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5778	0.1373	0.0392	0.0588	0.1176	0.0784	0.098	0.0392	0.0	0.098	0.0196	0.1176	0.0196	0.0392	0.0784	0.0196	0.0392
MSMEG_5779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_5781	0.1667	0.3333	0.0	0.0	0.1667	0.0	0.0	0.0	0.1667	0.0	0.1667	0.0	0.0	0.0	0.0	0.0
